Subject,session,session_rev,Reward,RT
24,8,6,-1,1172
24,8,6,1,1226.714286
24,9,7,-1,1414
24,9,7,1,1151.2
25,2,0,-1,1615.416667
25,2,0,1,1540.333333
25,3,1,-1,1759
25,3,1,1,1525
25,4,2,-1,1835.833333
25,4,2,1,1466.333333
25,5,3,-1,1476.714286
25,5,3,1,1485.461538
25,6,4,-1,1616.545455
25,6,4,1,1505.416667
25,7,5,-1,1402.076923
25,7,5,1,1347.666667
25,8,6,-1,1391
25,8,6,1,1807.909091
25,9,7,-1,1800.363636
25,9,7,1,1716.705882
26,2,0,-1,903.7692308
26,2,0,1,997.4166667
26,3,1,-1,1286.777778
26,3,1,1,1279.555556
26,4,2,-1,1446.833333
26,4,2,1,1332.916667
26,5,3,-1,1522.333333
26,5,3,1,1358
26,6,4,-1,1071.315789
26,6,4,1,1126.090909
26,7,5,-1,1200.333333
26,7,5,1,1193.5
26,8,6,-1,1454.689655
26,8,6,1,1468.866667
26,9,7,-1,1492.95
26,9,7,1,1500.5
27,2,0,-1,1305.666667
27,2,0,1,993.5
27,3,1,-1,1041.777778
27,3,1,1,901.2222222
27,4,2,-1,1031
27,4,2,1,963.1428571
27,5,3,-1,956.9090909
27,5,3,1,902.0769231
27,6,4,-1,959.0769231
27,6,4,1,959
27,7,5,-1,1013.35
27,7,5,1,951.75
27,8,6,-1,834.3333333
27,8,6,1,899
27,9,7,-1,960.3529412
27,9,7,1,902.2666667
28,2,0,-1,1583.444444
28,2,0,1,1793.25
28,3,1,-1,1568.454545
28,3,1,1,1476.5
28,4,2,-1,1453.47619
28,4,2,1,1039.769231
28,5,3,-1,1608.333333
28,5,3,1,1482.5
28,6,4,-1,1390.625
28,6,4,1,1086.055556
28,7,5,-1,1078.793103
28,7,5,1,1050.823529
28,8,6,-1,1272.15
28,8,6,1,1063
28,9,7,-1,1207.176471
28,9,7,1,1266.190476
29,2,0,-1,1363.555556
29,2,0,1,953.2
29,3,1,-1,860.1666667
29,3,1,1,1298.555556
29,4,2,-1,1539.5625
29,4,2,1,1250.266667
29,5,3,-1,1591.9
29,5,3,1,1554.692308
29,6,4,-1,1380.6
