Subject,session,session_rev,Reward,ACC
29,2,0,1,0.705882353
29,3,1,-1,0.5
29,3,1,1,0.571428571
29,4,2,-1,0.793103448
29,4,2,1,0.653846154
29,5,3,-1,0.634146341
29,5,3,1,0.64516129
29,6,4,-1,0.785714286
29,6,4,1,0.666666667
29,7,5,-1,0.75
29,7,5,1,0.888888889
29,8,6,-1,0.65
29,8,6,1,0.833333333
29,9,7,-1,0.941176471
29,9,7,1,0.947368421
30,2,0,-1,0.540540541
30,2,0,1,0.484848485
30,3,1,-1,0.52
30,3,1,1,0.5
30,4,2,-1,0.523809524
30,4,2,1,0.5
30,5,3,-1,1
30,5,3,1,0.578947368
30,6,4,-1,0.8
30,6,4,1,0.631578947
30,7,5,-1,0.68
30,7,5,1,0.75
30,8,6,-1,0.782608696
30,8,6,1,0.904761905
30,9,7,-1,0.65
30,9,7,1,0.703703704
31,2,0,-1,0.615384615
31,2,0,1,0.545454545
31,3,1,-1,0.555555556
31,3,1,1,0.535714286
31,4,2,-1,0.692307692
31,4,2,1,0.56
31,5,3,-1,0.529411765
31,5,3,1,0.636363636
31,6,4,-1,0.647058824
31,6,4,1,0.631578947
31,7,5,-1,0.485714286
31,7,5,1,0.576923077
31,8,6,-1,0.733333333
31,8,6,1,0.636363636
31,9,7,-1,0.75
31,9,7,1,0.619047619
32,2,0,-1,0.740740741
32,2,0,1,0.416666667
32,3,1,-1,0.47826087
32,3,1,1,0.486486486
32,4,2,-1,0.233333333
32,4,2,1,0.571428571
32,5,3,-1,0.489361702
32,5,3,1,0.536585366
32,6,4,-1,0.727272727
32,6,4,1,0.68
32,7,5,-1,0.617647059
32,7,5,1,0.571428571
32,8,6,-1,0.705882353
32,8,6,1,0.72
32,9,7,-1,0.904761905
32,9,7,1,0.85
35,2,0,-1,0.511627907
35,2,0,1,0.40625
35,3,1,-1,0.517241379
35,3,1,1,0.607142857
35,4,2,-1,0.80952381
35,4,2,1,0.578947368
35,5,3,-1,0.689655172
35,5,3,1,0.64
35,6,4,-1,0.653846154
35,6,4,1,0.833333333
35,7,5,-1,0.966666667
35,7,5,1,0.85
35,8,6,-1,0.727272727
35,8,6,1,0.947368421
35,9,7,-1,0.9
35,9,7,1,0.777777778
33,2,0,-1,0.78125
33,2,0,1,0.518518519
33,3,1,-1,0.526315789
33,3,1,1,0.777777778
33,4,2,-1,0.7
33,4,2,1,0.777777778
33,5,3,-1,0.740740741
33,5,3,1,0.833333333
33,6,4,-1,0.793103448
33,6,4,1,0.875
33,7,5,-1,0.851851852
33,7,5,1,0.944444444
33,8,6,-1,0.818181818
33,8,6,1,0.956521739
33,9,7,-1,1
33,9,7,1,0.944444444
34,2,0,-1,0.32
34,2,0,1,0.5625
34,3,1,-1,0.6875
34,3,1,1,0.4
34,4,2,-1,0.481481481
34,4,2,1,0.620689655
34,5,3,-1,0.423076923
34,5,3,1,0.653846154
34,6,4,-1,0.612903226
34,6,4,1,0.307692308
34,7,5,-1,0.764705882
34,7,5,1,0.6
34,8,6,-1,0.545454545
34,8,6,1,0.5
34,9,7,-1,0.666666667
34,9,7,1,0.55
38,2,0,-1,0.548387097
38,2,0,1,0.65
38,3,1,-1,0.633333333
38,3,1,1,0.695652174
38,4,2,-1,0.818181818
38,4,2,1,0.692307692
38,5,3,-1,0.6
38,5,3,1,0.857142857
38,6,4,-1,0.72
38,6,4,1,0.620689655
38,7,5,-1,0.625
38,7,5,1,0.833333333
38,8,6,-1,0.733333333
38,8,6,1,0.72
38,9,7,-1,0.608695652
38,9,7,1,0.789473684
39,2,0,-1,0.607142857
39,2,0,1,0.419354839
39,3,1,-1,0.333333333
39,3,1,1,0.512195122
39,4,2,-1,0.64516129
39,4,2,1,0.533333333
39,5,3,-1,0.766666667
39,5,3,1,0.695652174
39,6,4,-1,0.9
39,6,4,1,0.913043478
39,7,5,-1,0.8
39,7,5,1,0.863636364
39,8,6,-1,0.666666667
39,8,6,1,0.761904762
39,9,7,-1,0.875
39,9,7,1,0.72
40,2,0,-1,0.590909091
40,2,0,1,0.56
40,3,1,-1,0.5
40,3,1,1,0.540540541
40,4,2,-1,0.6
40,4,2,1,0.5
40,5,3,-1,0.818181818
40,5,3,1,0.578947368
40,6,4,-1,1
40,6,4,1,0.842105263
40,7,5,-1,0.925925926
40,7,5,1,0.789473684
40,8,6,-1,0.875
40,8,6,1,0.954545455
40,9,7,-1,0.958333333
40,9,7,1,0.894736842
41,2,0,-1,0.592592593
41,2,0,1,0.481481481
41,3,1,-1,0.64
41,3,1,1,0.5
41,4,2,-1,0.594594595
41,4,2,1,0.434782609
41,5,3,-1,0.551724138
41,5,3,1,0.714285714
41,6,4,-1,0.666666667
41,6,4,1,0.764705882
41,7,5,-1,0.75
41,7,5,1,0.722222222
41,8,6,-1,0.777777778
41,8,6,1,0.727272727
41,9,7,-1,0.838709677
41,9,7,1,0.793103448
42,2,0,-1,0.782608696
42,2,0,1,0.615384615
42,3,1,-1,0.655172414
42,3,1,1,0.615384615
42,4,2,-1,0.913043478
42,4,2,1,0.863636364
42,5,3,-1,0.923076923
42,5,3,1,0.941176471
42,6,4,-1,0.875
42,6,4,1,1
42,7,5,-1,1
42,7,5,1,0.947368421
42,8,6,-1,1
42,8,6,1,0.9375
42,9,7,-1,0.9375
42,9,7,1,0.888888889
43,2,0,-1,0.414634146
43,2,0,1,0.333333333
43,3,1,-1,0.404761905
43,3,1,1,0.325581395
43,4,2,-1,0.428571429
43,4,2,1,0.541666667
43,5,3,-1,0.666666667
43,5,3,1,0.625
43,6,4,-1,0.490196078
43,6,4,1,0.666666667
43,7,5,-1,0.764705882
43,7,5,1,0.684210526
43,8,6,-1,0.538461538
43,8,6,1,0.722222222
43,9,7,-1,0.578947368
43,9,7,1,0.535714286
44,2,0,-1,0.722222222
44,2,0,1,0.714285714
44,3,1,-1,0.933333333
44,3,1,1,0.80952381
44,4,2,-1,0.789473684
44,4,2,1,0.761904762
44,5,3,-1,0.894736842
44,5,3,1,0.722222222
44,6,4,-1,0.8
44,6,4,1,0.941176471
44,7,5,-1,0.916666667
44,7,5,1,0.85
44,8,6,-1,0.818181818
44,8,6,1,0.944444444
44,9,7,-1,0.846153846
44,9,7,1,0.95
45,2,0,-1,0.551724138
45,2,0,1,0.413793103
45,3,1,-1,0.703703704
45,3,1,1,0.416666667
45,4,2,-1,0.633333333
45,4,2,1,0.633333333
45,5,3,-1,0.6875
45,5,3,1,0.523809524
45,6,4,-1,0.533333333
45,6,4,1,0.636363636
45,7,5,-1,0.681818182
45,7,5,1,0.782608696
45,8,6,-1,0.791666667
45,8,6,1,0.777777778
45,9,7,-1,0.7
45,9,7,1,0.842105263
46,2,0,-1,0.615384615
46,2,0,1,0.647058824
46,3,1,-1,0.62962963
46,3,1,1,0.592592593
46,4,2,-1,0.526315789
46,4,2,1,0.75862069
46,5,3,-1,0.695652174
46,5,3,1,0.739130435
46,6,4,-1,0.5
46,6,4,1,0.571428571
46,7,5,-1,0.826086957
46,7,5,1,0.789473684
46,8,6,-1,0.518518519
46,8,6,1,0.846153846
46,9,7,-1,0.8125
46,9,7,1,0.526315789
47,2,0,-1,0.933333333
47,2,0,1,0.933333333
47,3,1,-1,1
47,3,1,1,0.904761905
47,4,2,-1,1
47,4,2,1,1
47,5,3,-1,1
47,5,3,1,1
47,6,4,-1,1
47,6,4,1,1
47,7,5,-1,1
47,7,5,1,1
47,8,6,-1,1
47,8,6,1,1
47,9,7,-1,1
47,9,7,1,1
48,2,0,-1,0.6
48,2,0,1,0.444444444
48,3,1,-1,0.58974359
48,3,1,1,0.357142857
48,4,2,-1,0.6
48,4,2,1,0.4375
48,5,3,-1,0.418604651
48,5,3,1,0.4375
48,6,4,-1,0.458333333
48,6,4,1,0.558823529
48,7,5,-1,0.846153846
48,7,5,1,0.888888889
48,8,6,-1,0.64
48,8,6,1,0.518518519
48,9,7,-1,0.724137931
48,9,7,1,0.583333333
49,2,0,-1,0.459459459
49,2,0,1,0.488372093
49,3,1,-1,0.566666667
49,3,1,1,0.666666667
49,4,2,-1,0.525
49,4,2,1,0.642857143
49,5,3,-1,0.7
49,5,3,1,0.714285714
49,6,4,-1,0.769230769
49,6,4,1,0.68
49,7,5,-1,0.846153846
49,7,5,1,0.695652174
49,8,6,-1,1
49,8,6,1,0.65
49,9,7,-1,1
49,9,7,1,0.933333333
