Subject,LRT,RRT,RTMax,Lacc,Racc,Bacc,PrevAcc,Block,SubTrial,Lstim,Rstim,Stim1,Stim2,S-Chord,CResp1,CResp2,Resp1,Resp2,R-Chord,RewardType,AfterRew,Rmapping,Trial 1,BadTime,Repeat,Async,ChordType,Useable,RewMag
24,2207,40,2207,1,0,0,1,2,45,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,0,2,0,1,0,0,SC,0,0
24,892,850,892,1,0,0,0,2,46,Face5.jpg,Face1.jpg,5,1,51,w,i,2,6,26,R,0,2,0,0,0,1,SC,0,190
24,1241,1199,1241,1,1,1,0,2,47,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,1,2,0,0,0,1,SC,0,170
24,1484,1458,1484,1,1,1,1,3,1,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,1,2,1,0,1,1,SC,0,200
24,1219,1193,1219,1,1,1,1,3,2,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,1,2,0,0,0,1,SC,1,0
24,1930,1904,1930,1,1,1,1,3,3,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,0,2,0,0,0,1,SI,1,0
24,1249,1239,1249,1,1,1,1,3,4,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,0,2,0,0,0,1,SC,1,0
24,1448,1438,1448,0,1,0,1,3,5,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,0,2,0,0,0,1,SI,0,190
24,1284,1226,1284,1,1,1,0,3,6,Face5.jpg,Face1.jpg,5,1,51,w,i,2,6,26,R,1,2,0,0,0,1,SC,0,100
24,2075,40,2075,1,0,0,1,3,7,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,1,2,0,1,0,0,SI,0,80
24,1032,990,1032,1,1,1,0,3,8,Face5.jpg,Face1.jpg,5,1,51,w,i,2,6,26,R,1,2,0,0,0,1,SC,0,120
24,863,853,863,1,1,1,1,3,9,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,1,2,0,0,0,1,SC,1,0
24,1206,1196,1206,1,1,1,1,3,10,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,0,2,0,0,0,1,SC,1,0
24,1645,1619,1645,1,1,1,1,3,11,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,0,2,0,0,0,1,SI,1,0
24,1188,1162,1188,1,1,1,1,3,12,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,0,2,0,0,0,1,SC,1,0
24,1787,1761,1787,1,1,1,1,3,13,Face6.jpg,Face1.jpg,6,1,61,q,i,1,6,16,U,0,2,0,0,0,1,SI,1,0
