Subject,session,session_rev,Reward,RT
52,7,5,1,1208
52,7,5,-1,1240
52,8,6,1,1206
52,8,6,-1,1155
52,9,7,1,1208
52,9,7,-1,1176
57,2,0,1,1564
57,2,0,-1,1583
57,3,1,1,1332
57,3,1,-1,1391
57,4,2,1,1260
57,4,2,-1,1347
57,5,3,1,1347
57,5,3,-1,1375
57,6,4,1,1291
57,6,4,-1,1429
57,7,5,1,1145
57,7,5,-1,1413
57,8,6,1,1212
57,8,6,-1,1327
57,9,7,1,1179
57,9,7,-1,1352
58,2,0,1,1215
58,2,0,-1,959
58,3,1,1,948
58,3,1,-1,981
58,4,2,1,885
58,4,2,-1,975
58,5,3,1,1006
58,5,3,-1,1062
58,6,4,1,1024
58,6,4,-1,1010
58,7,5,1,921
58,7,5,-1,1030
58,8,6,1,977
58,8,6,-1,1093
58,9,7,1,1206
58,9,7,-1,1129
59,2,0,1,1298
59,2,0,-1,1284
59,3,1,1,1284
59,3,1,-1,1363
59,4,2,1,1258
59,4,2,-1,1178
59,5,3,1,1257
59,5,3,-1,1272
59,6,4,1,1344
59,6,4,-1,1290
59,7,5,1,1196
59,7,5,-1,1294
59,8,6,1,1300
59,8,6,-1,1302
59,9,7,1,1314
59,9,7,-1,1334
60,2,0,1,1413
60,2,0,-1,1199
60,3,1,1,1244
60,3,1,-1,1150
60,4,2,1,1366
60,4,2,-1,1165
60,5,3,1,1240
60,5,3,-1,1148
60,6,4,1,1137
60,6,4,-1,1167
60,7,5,1,1289
60,7,5,-1,1062
60,8,6,1,1154
60,8,6,-1,1204
60,9,7,1,1143
60,9,7,-1,1125
81,2,0,1,1370
81,2,0,-1,1264
81,3,1,1,1154
81,3,1,-1,1249
81,4,2,1,1039
81,4,2,-1,1167
81,5,3,1,1103
81,5,3,-1,1094
81,6,4,1,1033
81,6,4,-1,1083
81,7,5,1,1011
81,7,5,-1,1039
81,8,6,1,1017
81,8,6,-1,970
81,9,7,1,1219
81,9,7,-1,1034
91,2,0,1,1535
91,2,0,-1,1469
91,3,1,1,1443
91,3,1,-1,1396
91,4,2,1,1306
91,4,2,-1,1570
91,5,3,1,1439
91,5,3,-1,1446
91,6,4,1,1440
91,6,4,-1,1369
91,7,5,1,1318
91,7,5,-1,1378
91,8,6,1,1332
91,8,6,-1,1367
91,9,7,1,1231
91,9,7,-1,1368
