Subject,Sex,Group,Rmapping,CB,RTL,RTR,RTMax,Asynchrony,AccL,AccR,Bacc,Block,Trial, F1,Face2,R1,R2,Chord,CResp1,CResp2,RewardType,ChordType,Rewarded,Code,PrevReward,AfterReward,Practiced,PrevAcc,GoodFast,Repeats,Useable,Qchord,QRecall,QRespQ,Composite Awareness
1,2,1,1,1,2321,40,2321,2281,1,0,0,2,3,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,0,0,1,1,0,0,0,,,0,1
1,2,1,1,1,1486,1460,1486,26,1,1,1,2,4,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,1,1,1,0,1,0,1,,,0,1
1,2,1,1,1,2213,40,2213,2173,1,0,0,2,5,Face3.jpg,Face6.jpg,3,6,36,e,i,R,M,1,11,0,0,1,1,0,0,0,,,0,1
1,2,1,1,1,1490,1480,1490,10,1,1,1,2,6,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,1,1,1,0,1,0,1,,,0,1
1,2,1,1,1,1833,1825,1833,8,1,1,1,2,7,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1519,1494,1519,25,1,1,1,2,8,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1897,1884,1897,13,1,1,1,2,9,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1598,1603,1603,5,1,1,1,2,10,Face3.jpg,Face6.jpg,3,6,36,e,i,R,M,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1940,1930,1940,10,1,1,1,2,11,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1898,1905,1905,7,0,1,0,2,12,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,1,1,1,1,1,0,0,,,0,1
